id,Source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
3303,Student40,Student63,directed,user_graph,2,0,0,0,2
3304,Student33,ie65kwix6s5567,directed,post_graph,2,0,0,0,2
3305,Student33,Student63,directed,user_graph,2,0,0,0,2
3316,Student54,ie68liryebtsr,directed,post_graph,2,0,0,0,2
3318,Student65,ie68liryebtsr,directed,post_graph,2,0,0,0,2
3351,Student22,ie765ycdicl48u,directed,post_graph,2,0,0,0,2
3353,Student44,ie765ycdicl48u,directed,post_graph,2,0,0,0,2
3369,Student26,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2
3371,Student55,ie7dgu0wctf77j,directed,post_graph,2,0,0,0,2
3378,Student40,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2
3379,Student40,Student99,directed,user_graph,2,0,0,0,2
3380,Student32,ie7rj51ijcf1po,directed,post_graph,2,0,0,0,2
3381,Student32,Student99,directed,user_graph,2,0,0,0,2
3383,Student51,ie7tpjjxrx168o,directed,post_graph,2,0,0,0,2
3385,idfybvjfkFB,ie7tpjjxrx168o,directed,post_graph,2,0,0,0,2
3390,Student56,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2
3391,Student56,Student56,directed,user_graph,2,0,0,0,2
3392,Student55,ie81jj5p3lt2lx,directed,post_graph,2,0,0,0,2
3393,Student55,Student56,directed,user_graph,2,0,0,0,2
3397,Student11,ie8lfred1vi269,directed,post_graph,2,0,0,0,2
3399,Student90,ie8lfred1vi269,directed,post_graph,2,0,0,0,2
3419,Teacher5,iea8ciojd3y5td,directed,post_graph,2,0,0,0,2
3420,Teacher5,Student34,directed,user_graph,2,0,0,0,2
3421,Student91,iea8ciojd3y5td,directed,post_graph,2,0,0,0,2
3422,Student91,Student34,directed,user_graph,2,0,0,0,2
3424,Student22,iea99joppf46xd,directed,post_graph,2,0,0,0,2
3426,Teacher2,iea99joppf46xd,directed,post_graph,2,0,0,0,2
3471,Student13,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2
3473,Student54,ieaofqovp0m19q,directed,post_graph,2,0,0,0,2
3601,Student61,iedobrvq40261v,directed,post_graph,2,0,0,0,2
3603,Student13,iedobrvq40261v,directed,post_graph,2,0,0,0,2
3721,Student17,ieg6y8vtmmr1tt,directed,post_graph,2,0,0,0,2
3722,Student17,Student44,directed,user_graph,2,0,0,0,2
3823,Student9,iek88dbsioq10l,directed,post_graph,2,0,0,0,2
3825,Student81,iek88dbsioq10l,directed,post_graph,2,0,0,0,2
3896,Student68,iemurkdajhr4p6,directed,post_graph,2,0,0,0,2
3897,Student68,Student43,directed,user_graph,2,0,0,0,2
3898,Teacher2,iemurkdajhr4p6,directed,post_graph,2,0,0,0,2
3899,Teacher2,Student43,directed,user_graph,2,0,0,0,2
3958,Student26,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2
3960,Student1,iep10gsutxi3zl,directed,post_graph,2,0,0,0,2
3964,Student68,iepsh98dju31n4,directed,post_graph,2,0,0,0,2
3966,Student66,iepsh98dju31n4,directed,post_graph,2,0,0,0,2
4012,Student44,ieqkivmnub717y,directed,post_graph,2,0,0,0,2
4013,Student44,Teacher7,directed,user_graph,2,0,0,0,2
4014,Student11,ieqkivmnub717y,directed,post_graph,2,0,0,0,2
4015,Student11,Teacher7,directed,user_graph,2,0,0,0,2
4023,Teacher2,iet22l05ucp2b3,directed,post_graph,2,0,0,0,2
4024,Teacher2,Student6,directed,user_graph,2,0,0,0,2
4025,Student6,iet22l05ucp2b3,directed,post_graph,2,0,0,0,2
4026,Student6,Student6,directed,user_graph,2,0,0,0,2
4060,Student1,ieunamj87u04j,directed,post_graph,2,0,0,0,2
4062,Student34,ieunamj87u04j,directed,post_graph,2,0,0,0,2
4114,Student77,ievnkt7vskv1tb,directed,post_graph,2,0,0,0,2
4115,Student77,Student68,directed,user_graph,2,0,0,0,2
4116,Teacher3,ievnkt7vskv1tb,directed,post_graph,2,0,0,0,2
4117,Teacher3,Student68,directed,user_graph,2,0,0,0,2
4132,Student98,iexmi79vi6346u,directed,post_graph,2,0,0,0,2
4133,Student98,Teacher2,directed,user_graph,2,0,0,0,2
4134,Teacher2,iexmi79vi6346u,directed,post_graph,2,0,0,0,2
4135,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4141,Student70,iexmk73orb3da,directed,post_graph,2,0,0,0,2
4142,Student70,Teacher2,directed,user_graph,2,0,0,0,2
4143,Teacher2,iexmk73orb3da,directed,post_graph,2,0,0,0,2
4144,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4147,Student75,iexml2sk4ne6ko,directed,post_graph,2,0,0,0,2
4148,Student75,Teacher2,directed,user_graph,2,0,0,0,2
4149,Teacher2,iexml2sk4ne6ko,directed,post_graph,2,0,0,0,2
4150,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4153,Student14,iexmosep41522d,directed,post_graph,2,0,0,0,2
4154,Student14,Teacher2,directed,user_graph,2,0,0,0,2
4155,Teacher2,iexmosep41522d,directed,post_graph,2,0,0,0,2
4156,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4158,Student92,iexmp65m57v2ah,directed,post_graph,2,0,0,0,2
4159,Student92,Teacher2,directed,user_graph,2,0,0,0,2
4160,Teacher2,iexmp65m57v2ah,directed,post_graph,2,0,0,0,2
4161,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4164,Student63,iexmpynp28635y,directed,post_graph,2,0,0,0,2
4165,Student63,Teacher2,directed,user_graph,2,0,0,0,2
4166,Teacher2,iexmpynp28635y,directed,post_graph,2,0,0,0,2
4167,Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
4178,Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2
4179,Student80,Teacher2,directed,user_graph,2,0,0,0,2
4180,Student80,iexn5vherm079w,directed,post_graph,2,0,0,0,2
4181,Student80,Teacher2,directed,user_graph,2,0,0,0,2
4249,Student71,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2
4250,Student71,Student24,directed,user_graph,2,0,0,0,2
4251,Student53,iezqt4r7v2u233,directed,post_graph,2,0,0,0,2
4252,Student53,Student24,directed,user_graph,2,0,0,0,2
4294,Student17,if0j2y6hz669y,directed,post_graph,2,0,0,0,2
4295,Student17,Student71,directed,user_graph,2,0,0,0,2
4296,Student13,if0j2y6hz669y,directed,post_graph,2,0,0,0,2
4297,Student13,Student71,directed,user_graph,2,0,0,0,2
4299,Student68,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2
4300,Student68,Student44,directed,user_graph,2,0,0,0,2
4301,Student8,if12pinnjnf2o2,directed,post_graph,2,0,0,0,2
4302,Student8,Student44,directed,user_graph,2,0,0,0,2
4320,Teacher2,if32o2ctfkl2dz,directed,post_graph,2,0,0,0,2
4322,Student50,if32o2ctfkl2dz,directed,post_graph,2,0,0,0,2
4338,Student13,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2
4340,Student34,if3bcgpnuof1ol,directed,post_graph,2,0,0,0,2
4531,Student8,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2
4533,Student17,if5lft9w7d52yt,directed,post_graph,2,0,0,0,2
4536,Student8,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2
4537,Student8,Student43,directed,user_graph,2,0,0,0,2
4538,Student34,if5o4gpxbfy29c,directed,post_graph,2,0,0,0,2
4539,Student34,Student43,directed,user_graph,2,0,0,0,2
4581,Student71,if72326t5zs3l8,directed,post_graph,2,0,0,0,2
4582,Student71,Teacher2,directed,user_graph,2,0,0,0,2
4583,Student13,if72326t5zs3l8,directed,post_graph,2,0,0,0,2
4584,Student13,Teacher2,directed,user_graph,2,0,0,0,2
4643,Student83,if8ps624elf3z4,directed,post_graph,2,0,0,0,2
4645,Student33,if8ps624elf3z4,directed,post_graph,2,0,0,0,2
4681,Teacher7,ifadsfzmc9u2kl,directed,post_graph,2,0,0,1,3
4683,Teacher7,ifadsfzmc9u2kl,directed,post_graph,2,0,0,1,3
4717,Student53,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3
4718,Student53,Teacher7,directed,user_graph,2,0,0,1,3
4719,Teacher7,ifasbdrvyte3dr,directed,post_graph,2,0,0,1,3
4720,Teacher7,Teacher7,directed,user_graph,2,0,0,1,3
4805,Teacher2,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2
4807,Student10,ifh8qaf3e5h600,directed,post_graph,2,0,0,0,2
4011,Teacher7,ieqkivmnub717y,directed,post_graph,2,10,0,0,12
4047,Student22,ieuce3knaw32cf,directed,post_graph,2,12,0,0,14
2606,Student81,idvpemtlzp98a,directed,post_graph,2,2,0,0,4
2874,Student48,idyl8ts9plq6a1,directed,post_graph,2,2,0,0,4
3921,Student81,ieoag3vb1seot,directed,post_graph,2,2,0,0,4
4131,Teacher2,iexmi79vi6346u,directed,post_graph,2,2,0,0,4
4140,Teacher2,iexmk73orb3da,directed,post_graph,2,2,0,0,4
4146,Teacher2,iexml2sk4ne6ko,directed,post_graph,2,2,0,0,4
4152,Teacher2,iexmosep41522d,directed,post_graph,2,2,0,0,4
4157,Teacher2,iexmp65m57v2ah,directed,post_graph,2,2,0,0,4
4163,Teacher2,iexmpynp28635y,directed,post_graph,2,2,0,0,4
4177,Teacher2,iexn5vherm079w,directed,post_graph,2,2,0,0,4
4315,Student73,if1ociqoea53oj,directed,post_graph,2,2,0,0,4
3730,Student79,ieg8px3hcs73vl,directed,post_graph,2,22,0,0,24
4113,Student68,ievnkt7vskv1tb,directed,post_graph,2,26,0,0,28
761,Student13,idqx3sp1f633ou,directed,post_graph,2,27,0,0,29
265,Student81,idgsad8pyns56d,directed,post_graph,2,3,0,0,5
2873,Student64,idykmwb0p6ik2,directed,post_graph,2,3,0,0,5
3168,Student58,ie4de9b4ums6k1,directed,post_graph,2,3,0,0,5
3872,Student1,ieleurks29v3mp,directed,post_graph,2,3,0,0,5
393,Student43,idkapykv8ke43s,directed,post_graph,2,32,0,0,34
4535,Student43,if5o4gpxbfy29c,directed,post_graph,2,38,0,0,40
4298,Student44,if12pinnjnf2o2,directed,post_graph,2,39,0,0,41
2875,Student16,idynjxqw7ye5ob,directed,post_graph,2,4,0,0,6
4027,Misc3,iet43d0r88amk,directed,post_graph,2,4,0,0,6
4028,Student24,ietagf3vinh1ey,directed,post_graph,2,4,0,0,6
4127,Student45,iew2s32mnfosn,directed,post_graph,2,4,0,0,6
4022,Student6,iet22l05ucp2b3,directed,post_graph,2,41,0,0,43
4293,Student71,if0j2y6hz669y,directed,post_graph,2,43,0,0,45
3301,Student63,ie65kwix6s5567,directed,post_graph,2,45,0,0,47
3389,Student56,ie81jj5p3lt2lx,directed,post_graph,2,46,0,0,48
3720,Student44,ieg6y8vtmmr1tt,directed,post_graph,2,47,0,0,49
564,Student60,idn7sh3fc231yc,directed,post_graph,2,48,0,0,50
4248,Student24,iezqt4r7v2u233,directed,post_graph,2,48,0,0,50
1874,Student3,idszoazg6kw64,directed,post_graph,2,5,0,0,7
2187,Teacher7,idtuzkucylm1vc,directed,post_graph,2,5,0,0,7
2716,Teacher1,idxdehe0wcq7f8,directed,post_graph,2,5,0,0,7
4722,Student99,ifbde1po8et3nf,directed,post_graph,2,5,0,0,7
3179,Student72,ie4p4850pox3zm,directed,post_graph,2,51,0,0,53
4580,Teacher2,if72326t5zs3l8,directed,post_graph,2,53,0,0,55
3377,Student99,ie7rj51ijcf1po,directed,post_graph,2,55,0,0,57
3895,Student43,iemurkdajhr4p6,directed,post_graph,2,57,0,0,59
756,Student13,idqwx4zbh2h3y7,directed,post_graph,2,60,0,0,62
2942,Student55,idz0rhozumh4sk,directed,post_graph,2,60,0,0,62
3418,Student34,iea8ciojd3y5td,directed,post_graph,2,63,0,0,65
2381,Student34,idu4m1sjvp21aq,directed,post_graph,2,66,0,0,68
3294,Student55,ie5w0dj0fmm106,directed,post_graph,2,67,0,0,69
2664,Student60,idx9pa3lnw326m,directed,post_graph,2,68,0,0,70
4716,Teacher7,ifasbdrvyte3dr,directed,post_graph,2,7,0,0,9
766,Student34,idrabjc8ewx56d,directed,post_graph,2,72,0,0,74
275,Student80,idgudhlbvnu4h3,directed,post_graph,2,78,0,0,80
1094,Teacher2,idrghu2l8x45bo,directed,post_graph,2,78,0,0,80
312,Student24,idhejp6ddjw78b,directed,post_graph,2,82,0,0,84
6,hvafvjd4lOd,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
8,Student59,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
10,Student13,idf9ojdm3ty40e,directed,post_graph,3,0,0,0,3
227,Teacher5,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
228,Teacher5,Teacher2,directed,user_graph,3,0,0,0,3
229,Student51,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
230,Student51,Teacher2,directed,user_graph,3,0,0,0,3
231,Teacher2,idgcq5z4benkd,directed,post_graph,3,0,0,0,3
232,Teacher2,Teacher2,directed,user_graph,3,0,0,0,3
259,Teacher2,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
260,Teacher2,Student51,directed,user_graph,3,0,0,0,3
261,Student11,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
262,Student11,Student51,directed,user_graph,3,0,0,0,3
263,Student17,idgrodful3h7bm,directed,post_graph,3,0,0,0,3
264,Student17,Student51,directed,user_graph,3,0,0,0,3
363,Student51,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
364,Student51,Student34,directed,user_graph,3,0,0,0,3
365,Student13,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
366,Student13,Student34,directed,user_graph,3,0,0,0,3
367,Student33,idj4r74e4w64kw,directed,post_graph,3,0,0,0,3
368,Student33,Student34,directed,user_graph,3,0,0,0,3
529,Teacher2,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
531,Student6,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
533,Student8,idmgzghk6wx6lf,directed,post_graph,3,0,0,0,3
558,Student11,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
560,Teacher6,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
562,Student13,idn3gwb5dal2h2,directed,post_graph,3,0,0,0,3
729,Student35,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
731,Student8,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
733,Student55,idqosaydmvzc0,directed,post_graph,3,0,0,0,3
1400,Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
1402,Teacher3,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
1404,Student48,ids5c0kaz7i42w,directed,post_graph,3,0,0,0,3
1633,Student84,ids7h53xv773q0,directed,post_graph,3,0,0,0,3
1634,Student84,Student84,directed,user_graph,3,0,0,0,3
2351,Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,0,3
2352,Teacher7,Teacher7,directed,user_graph,3,0,0,0,3
2353,Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,1,4
2354,Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
2355,Teacher7,idtv0iic19s323,directed,post_graph,3,0,0,1,4
2356,Teacher7,Teacher7,directed,user_graph,3,0,0,1,4
2857,Student80,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
2858,Student80,Student56,directed,user_graph,3,0,0,0,3
2859,Student79,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
2860,Student79,Student56,directed,user_graph,3,0,0,0,3
2861,Student29,idy4vnns5n55ad,directed,post_graph,3,0,0,0,3
2862,Student29,Student56,directed,user_graph,3,0,0,0,3
2867,Student81,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
2869,Teacher2,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
2871,Student80,idyi6lncyoyrb,directed,post_graph,3,0,0,0,3
2948,Student83,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
2950,Student71,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
2952,Student55,idz306xtzab1t2,directed,post_graph,3,0,0,0,3
3724,Student42,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
3726,Teacher2,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
3728,Student8,ieg8ax7ke4h1tp,directed,post_graph,3,0,0,0,3
3814,Student100,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
3816,Student8,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
3818,Student68,ieisi296r7c3a4,directed,post_graph,3,0,0,0,3
4041,Student88,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
4043,Student1,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
4045,Student21,ieu8dep853h3s1,directed,post_graph,3,0,0,0,3
4187,Student3,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
4188,Student3,Student80,directed,user_graph,3,0,0,0,3
4189,Student11,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
4190,Student11,Student80,directed,user_graph,3,0,0,0,3
4191,Student13,iexzn9sf9hx4bi,directed,post_graph,3,0,0,0,3
4192,Student13,Student80,directed,user_graph,3,0,0,0,3
4194,Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
4196,Teacher2,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
4198,Student6,ieygj084ncc3s0,directed,post_graph,3,0,0,0,3
4216,Student71,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
4218,Student3,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
4220,Student34,ieyyg4h9f823px,directed,post_graph,3,0,0,0,3
4425,Teacher1,if4k52zva1159a,directed,post_graph,3,0,0,0,3
4426,Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
4427,Teacher1,if4k52zva1159a,directed,post_graph,3,0,0,0,3
4428,Teacher1,Teacher1,directed,user_graph,3,0,0,0,3
4429,Student37,if4k52zva1159a,directed,post_graph,3,0,0,0,3
4430,Student37,Teacher1,directed,user_graph,3,0,0,0,3
4481,Student34,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
4482,Student34,Student43,directed,user_graph,3,0,0,0,3
4483,Student71,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
4484,Student71,Student43,directed,user_graph,3,0,0,0,3
4485,Student61,if4qyx6p8xa5f3,directed,post_graph,3,0,0,0,3
4486,Student61,Student43,directed,user_graph,3,0,0,0,3
4488,Student100,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
4490,Student8,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
4492,Student3,if4t4xnbu9a1g9,directed,post_graph,3,0,0,0,3
4495,Student17,if4uva7louq58o,directed,post_graph,3,0,0,0,3
4496,Student17,Student17,directed,user_graph,3,0,0,0,3
4673,Student3,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
4675,Student95,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
4677,Student58,if9qg755vdz6f0,directed,post_graph,3,0,0,0,3
4798,Student14,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
4799,Student14,Student24,directed,user_graph,3,0,0,0,3
4800,Student8,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
4801,Student8,Student24,directed,user_graph,3,0,0,0,3
4802,Student33,ifh2fisdsgk3yf,directed,post_graph,3,0,0,0,3
4803,Student33,Student24,directed,user_graph,3,0,0,0,3
4494,Student17,if4uva7louq58o,directed,post_graph,3,2,0,0,5
258,Student51,idgrodful3h7bm,directed,post_graph,3,33,0,0,36
1632,Student84,ids7h53xv773q0,directed,post_graph,3,4,0,0,7
4796,Student36,ifgyhlj8cor4dk,directed,post_graph,3,4,0,0,7
535,Student80,idmhwfo7z4t6m0,directed,post_graph,3,43,0,0,46
4797,Student24,ifh2fisdsgk3yf,directed,post_graph,3,45,0,0,48
3073,Student44,ie18n02621q7kx,directed,post_graph,3,48,0,0,51
4480,Student43,if4qyx6p8xa5f3,directed,post_graph,3,53,0,0,56
4292,Student83,if0elblbtab3dh,directed,post_graph,3,55,0,0,58
4290,Student24,if0dq239myp4py,directed,post_graph,3,56,0,0,59
2350,Teacher7,idtv0iic19s323,directed,post_graph,3,6,0,0,9
4424,Teacher1,if4k52zva1159a,directed,post_graph,3,6,0,0,9
4186,Student80,iexzn9sf9hx4bi,directed,post_graph,3,62,0,0,65
362,Student34,idj4r74e4w64kw,directed,post_graph,3,63,0,0,66
3004,Student79,ie0k1jfreckit,directed,post_graph,3,63,0,0,66
2856,Student56,idy4vnns5n55ad,directed,post_graph,3,79,0,0,82
226,Teacher2,idgcq5z4benkd,directed,post_graph,3,83,0,0,86
267,Student36,idgttuabl79v2,directed,post_graph,4,0,0,0,4
269,Student40,idgttuabl79v2,directed,post_graph,4,0,0,0,4
271,Student44,idgttuabl79v2,directed,post_graph,4,0,0,0,4
