,uid,asks,answers,posts,views,days,type,Student ID,Assignment 1 [40],Assignment 2 [40],Project 1 [100],Assignment 3 [40],Assignment 4 [40],Project 2 [100],Assignment 5 [40],Assignment 6 [40],Project 3 [100],final_grade,Peer Feedback [15],Course Grade,grade_bucket,id,label,user_type,type_data
114,User85,5,0,28,281,73,student,User85,0,27,73,0,30,51,0,24,67,98,13,58.47,c,User85,User85,User,user_graph
115,User359,2,1,47,223,59,student,User359,30,0,68,33,0,59,35,0,57,93,15,59.54,c,User359,User359,User,user_graph
119,User131,3,0,43,299,73,student,User131,0,31,84,0,30,85,0,32,76,86,13,66.71,b,User131,User131,User,user_graph
122,User22,3,0,29,142,48,student,User22,40,0,84,0,36,76,38,0,91,97,15,72.82,a,User22,User22,User,user_graph
123,User278,17,4,170,635,137,student,User278,29,0,90,0,27,84,33,0,77,100,16,69.61,b,User278,User278,User,user_graph
124,User329,1,0,3,176,61,student,,,,,,,,,,,,,,,User329,User329,User,user_graph
125,User314,1,1,65,220,96,student,User314,33,0,90,32,0,77,33,0,68,90,15,66.87,b,User314,User314,User,user_graph
126,User132,0,25,91,637,129,student,User132,33,0,99,38,0,80,35,0,88,93,15,73.43,a,User132,User132,User,user_graph
127,User302,3,0,21,199,59,student,User302,0,30,78,0,37,92,0,35,70,100,13,69.46,b,User302,User302,User,user_graph
131,User261,2,2,27,493,89,student,User261,0,32,82,0,34,69,0,32,63,96,14,64.42,b,User261,User261,User,user_graph
132,User254,1,0,37,576,136,student,User254,0,24,86,39,0,80,0,34,81,94,15,69.16,b,User254,User254,User,user_graph
133,User371,2,0,36,636,113,student,User371,40,0,91,0,29,70,0,28,73,94,15,67.17,b,User371,User371,User,user_graph
134,User318,5,0,30,167,63,student,User318,35,0,75,33,0,55,38,0,88,100,13,66.71,b,User318,User318,User,user_graph
135,User40,5,3,42,551,93,student,User40,35,0,86,0,30,63,0,28,68,93,15,63.81,b,User40,User40,User,user_graph
136,User126,0,1,28,613,101,student,User126,0,31,85,0,32,86,0,35,47,93,15,64.73,b,User126,User126,User,user_graph
139,User98,4,6,82,592,134,student,User98,0,28,97,0,34,87,0,29,92,97,15,73.12,a,User98,User98,User,user_graph
140,User166,7,5,220,546,137,student,User166,0,36,83,37,0,79,36,0,74,98,16,70.07,a,User166,User166,User,user_graph
141,User362,3,1,30,320,57,student,User362,0,35,64,0,29,61,0,35,54,88,15,58.16,c,User362,User362,User,user_graph
143,User201,2,0,22,634,115,student,User201,0,28,82,0,35,64,34,0,63,80,10,60.45,b,User201,User201,User,user_graph
147,User135,5,0,65,302,99,student,User135,32,0,74,0,38,68,0,22,74,97,15,64.12,b,User135,User135,User,user_graph
148,User75,5,0,31,140,64,student,User75,0,26,70,0,35,70,0,28,60,91,12,59.84,c,User75,User75,User,user_graph
152,User298,1,1,44,554,134,student,User298,0,32,69,0,40,54,0,40,39,100,15,59.38,c,User298,User298,User,user_graph
153,User240,7,1,30,220,132,student,User240,35,0,84,40,0,70,34,0,68,100,15,68.09,b,User240,User240,User,user_graph
154,User327,2,2,30,208,89,student,User327,33,0,66,30,0,54,37,0,57,93,15,58.77,c,User327,User327,User,user_graph
156,User158,4,0,70,638,141,student,User158,0,36,91,37,0,75,33,0,86,96,16,71.75,a,User158,User158,User,user_graph
157,User100,1,0,15,321,87,student,User100,0,39,85,0,34,86,0,35,76,91,15,70.38,a,User100,User100,User,user_graph
158,User29,2,0,13,179,77,student,User29,34,0,94,31,0,60,30,0,86,91,11,66.71,b,User29,User29,User,user_graph
161,User291,3,5,60,260,94,student,User291,0,34,99,0,24,96,0,37,77,99,14,73.28,a,User291,User291,User,user_graph
165,User247,1,0,10,217,66,student,User247,0,39,87,30,0,49,0,26,46,96,15,59.23,c,User247,User247,User,user_graph
167,User269,2,0,27,634,94,student,User269,0,28,89,39,0,73,32,0,68,100,10,67.02,b,User269,User269,User,user_graph
