id,name,asks,answers,posts,views,days,type,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23],grade_bucket,id,label,user_type,type_data
Student84,Student84,2,0,26,97,30,student,1,1,1,1,2,2,1,1,0,2,1,2,0.652173913,d,Student84,Student84,Student,user_graph
Guest9,,0,0,9,13,55,guest,,,,,,,,,,,,,,,,,,
Student88,Student88,0,0,57,341,71,student,1,1,1,1,1,1,1,,1,,,,0.347826087,d,,,,
Student22,Student22,6,4,134,283,70,student,2,1,2,1,2,1,1,1,1,2,2,2,0.782608696,c,Student22,Student22,Student,user_graph
Student50,Student50,2,0,23,186,34,student,2,2,2,1,1,1,2,1,1,2,2,2,0.826086957,b,,,,
Teacher4,,0,0,224,135,49,teacher,,,,,,,,,,,,,,,Teacher4,Teacher4,Teacher,user_graph
Teacher3,,1,0,175,289,70,teacher,,,,,,,,,,,,,,,Teacher3,Teacher3,Teacher,user_graph
Student80,Student80,2,0,97,161,70,student,2,2,2,2,2,2,2,1,2,2,2,1,0.956521739,a,Student80,Student80,Student,user_graph
Student60,Student60,0,0,46,80,48,student,1,2,1,1,1,1,1,1,2,,,,0.47826087,d,Student60,Student60,Student,user_graph
Misc2,,0,0,2,29,39,student,,,,,,,,,,,,,,,,,,
Student78,Student78,0,0,20,292,14,student,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913,d,,,,
Student30,Student30,3,0,32,276,27,student,2,1,1,2,2,2,2,1,1,0,0,0,0.608695652,d,,,,
Student56,Student56,2,0,29,89,39,student,1,1,2,1,0,1,1,1,1,,,,0.391304348,d,Student56,Student56,Student,user_graph
Student47,Student47,0,0,22,340,63,student,1,2,1,1,1,1,2,1,2,1,1,1,0.652173913,d,,,,
Student95,Student95,2,1,52,342,54,student,2,2,2,1,1,2,1,1,2,2,2,2,0.869565217,b,Student95,Student95,Student,user_graph
Student42,Student42,0,0,27,202,27,student,1,2,2,1,2,2,2,1,1,2,2,2,0.869565217,b,,,,
Student85,Student85,0,0,80,338,53,student,1,2,1,1,2,1,2,1,2,2,1,1,0.739130435,c,Student85,Student85,Student,user_graph
Student100,Student100,3,0,72,206,46,student,2,2,2,2,2,2,2,1,2,2,2,2,1,a,Student100,Student100,Student,user_graph
Student41,Student41,1,0,32,213,45,student,1,1,1,1,2,1,1,1,2,2,1,2,0.695652174,d,Student41,Student41,Student,user_graph
Student93,Student93,0,0,43,204,58,student,1,2,2,2,2,2,2,2,2,,,,0.739130435,c,,,,
Student7,Student7,0,0,25,327,53,student,1,2,1,1,1,2,1,1,2,2,2,2,0.782608696,c,Student7,Student7,Student,user_graph
Student19,Student19,0,0,11,319,52,student,1,2,1,1,1,1,2,1,1,1,1,2,0.652173913,d,,,,
Student90,Student90,2,1,55,222,62,student,2,1,1,1,2,2,1,1,2,1,1,2,0.739130435,c,,,,
Student44,Student44,3,1,81,145,52,student,1,2,2,2,2,2,2,1,2,1,2,1,0.869565217,b,Student44,Student44,Student,user_graph
Student46,Student46,1,0,47,222,37,student,1,1,1,1,1,1,1,1,2,1,2,2,0.652173913,d,Student46,Student46,Student,user_graph
Student4,Student4,2,0,17,158,59,student,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913,d,,,,
Misc3,,2,0,33,89,51,student,,,,,,,,,,,,,,,Misc3,Misc3,Misc,user_graph
Student81,Student81,4,0,64,320,49,student,2,2,1,2,2,2,2,1,1,1,1,1,0.782608696,c,Student81,Student81,Student,user_graph
Student33,Student33,1,0,43,343,61,student,1,1,1,2,2,1,1,1,1,2,2,2,0.739130435,c,Student33,Student33,Student,user_graph
Student51,Student51,2,1,179,344,72,student,1,1,1,2,1,2,2,,1,2,2,2,0.739130435,c,Student51,Student51,Student,user_graph
Student8,Student8,3,0,177,205,57,student,2,1,2,2,1,1,2,1,2,,,,0.608695652,d,Student8,Student8,Student,user_graph
Student59,Student59,0,0,33,234,63,student,2,1,1,1,1,1,1,1,1,2,1,2,0.652173913,d,Student59,Student59,Student,user_graph
Student63,Student63,0,0,23,259,69,student,1,1,1,2,1,1,1,1,1,,,,0.434782609,d,Student63,Student63,Student,user_graph
Student82,Student82,0,0,68,259,62,student,2,2,1,2,1,1,2,1,1,1,1,1,0.695652174,d,Student82,Student82,Student,user_graph
Student58,Student58,1,1,42,109,64,student,1,1,1,2,2,2,2,1,2,,,,0.608695652,d,Student58,Student58,Student,user_graph
Student86,Student86,6,2,57,323,68,student,2,1,2,1,1,1,1,1,1,2,2,2,0.739130435,c,Student86,Student86,Student,user_graph
Student101,Student101,0,1,63,215,45,student,1,1,1,1,2,1,1,1,1,2,1,1,0.608695652,d,Student101,Student101,Student,user_graph
