source,target,type,type_data,no_replies,unique_views,no_reply_upvotes,no_reply_answer,weights
gd6v7134AUa,idf8noiig7h6wh,directed,post_graph,0,0,0,0,0
gd6v7134AUa,idf8np6hlvk6wo,directed,post_graph,0,0,0,0,0
gd6v7134AUa,idf8np8iaa16wr,directed,post_graph,0,0,0,0,0
gd6v7134AUa,idf8npbr5qm6wt,directed,post_graph,0,0,0,0,0
gd6v7134AUa,idf8nq2g36u6wx,directed,post_graph,0,0,0,0,0
Student24,idltd55lm2y3on,directed,post_graph,0,0,0,0,0
Student13,idy3acbjrmr169,directed,post_graph,0,0,0,0,0
Student79,idyffwuzdh41pw,directed,post_graph,0,0,0,0,0
Student24,ie4gaadzv70454,directed,post_graph,0,0,0,0,0
Student14,ie7zwxtnd0143d,directed,post_graph,0,0,0,0,0
Teacher6,ien6ju9sc4wlb,directed,post_graph,0,0,0,0,0
Teacher2,ieu7totw95cr4,directed,post_graph,0,0,0,0,0
Teacher2,iexn3m9mlpb3hy,directed,post_graph,0,0,0,0,0
Student40,ierjoywh6ly5k3,directed,post_graph,0,30,0,0,30
Student32,ieur6ml8c6q6nt,directed,post_graph,0,40,0,0,40
Student32,iffjqod4amk45n,directed,post_graph,0,41,0,0,41
Student24,ie8kuijxowf6xq,directed,post_graph,0,49,0,0,49
Student15,ie8nawsb7gt2sq,directed,post_graph,0,55,0,0,55
Student77,ifhlvknq2zrr8,directed,post_graph,0,61,0,0,61
hvafvjd4lOd,idgcqchhob17dp,directed,post_graph,2,0,0,0,2
Student44,idgcqchhob17dp,directed,post_graph,2,0,0,0,2
Student13,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2
Student72,idgcqjv0q223g9,directed,post_graph,2,0,0,0,2
Teacher2,idgupesb98v5xi,directed,post_graph,2,0,0,0,2
Student51,idgupesb98v5xi,directed,post_graph,2,0,0,0,2
Misc4,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2
Misc4,Student24,directed,user_graph,2,0,0,0,2
Student3,idhejp6ddjw78b,directed,post_graph,2,0,0,0,2
Student3,Student24,directed,user_graph,2,0,0,0,2
Student8,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2
Student13,idk5gij1h3j5j6,directed,post_graph,2,0,0,0,2
Student13,idkapykv8ke43s,directed,post_graph,2,0,0,0,2
Student13,Student43,directed,user_graph,2,0,0,0,2
Student6,idkapykv8ke43s,directed,post_graph,2,0,0,0,2
Student6,Student43,directed,user_graph,2,0,0,0,2
Student34,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2
Student34,Student60,directed,user_graph,2,0,0,0,2
Student80,idn7sh3fc231yc,directed,post_graph,2,0,0,0,2
Student80,Student60,directed,user_graph,2,0,0,0,2
Student1,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2
Student8,idq1jr6gq606jf,directed,post_graph,2,0,0,0,2
Teacher5,idqwx4zbh2h3y7,directed,post_graph,2,0,0,0,2
Teacher5,Student13,directed,user_graph,2,0,0,0,2
Student58,idqwx4zbh2h3y7,directed,post_graph,2,0,0,0,2
Student58,Student13,directed,user_graph,2,0,0,0,2
Student35,idqx3sp1f633ou,directed,post_graph,2,0,0,0,2
Student35,Student13,directed,user_graph,2,0,0,0,2
Teacher5,idqx3sp1f633ou,directed,post_graph,2,0,0,0,2
Teacher5,Student13,directed,user_graph,2,0,0,0,2
Student2,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2
Student2,Student34,directed,user_graph,2,0,0,0,2
Student46,idrabjc8ewx56d,directed,post_graph,2,0,0,0,2
Student46,Student34,directed,user_graph,2,0,0,0,2
Student34,idrghu2l8x45bo,directed,post_graph,2,0,0,0,2
Student34,Teacher2,directed,user_graph,2,0,0,0,2
Teacher2,idrghu2l8x45bo,directed,post_graph,2,0,0,0,2
Teacher2,Teacher2,directed,user_graph,2,0,0,0,2
Student100,idtuzkucylm1vc,directed,post_graph,2,0,0,0,2
Student100,Teacher7,directed,user_graph,2,0,0,0,2
Teacher7,idtuzkucylm1vc,directed,post_graph,2,0,0,0,2
Teacher7,Teacher7,directed,user_graph,2,0,0,0,2
Student71,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2
Student71,Student34,directed,user_graph,2,0,0,0,2
Student33,idu4m1sjvp21aq,directed,post_graph,2,0,0,0,2
Student33,Student34,directed,user_graph,2,0,0,0,2
Student32,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2
Student46,idwfbm8fppd2fe,directed,post_graph,2,0,0,0,2
Student65,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2
Student55,idx6e1tkxvz15h,directed,post_graph,2,0,0,0,2
Student76,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2
Student50,idx8vw8bt1055w,directed,post_graph,2,0,0,0,2
Student88,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2
Student88,Student60,directed,user_graph,2,0,0,0,2
Student100,idx9pa3lnw326m,directed,post_graph,2,0,0,0,2
Student100,Student60,directed,user_graph,2,0,0,0,2
idfybvjfkFB,idxdehe0wcq7f8,directed,post_graph,2,0,0,0,2
idfybvjfkFB,Teacher1,directed,user_graph,2,0,0,0,2
Teacher1,idxdehe0wcq7f8,directed,post_graph,2,0,0,0,2
Teacher1,Teacher1,directed,user_graph,2,0,0,0,2
Student11,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2
Student40,idxpxnq5j8u5pg,directed,post_graph,2,0,0,0,2
Student6,idyvneq5hay4cp,directed,post_graph,2,0,0,0,2
