Student ID,Student Name,Personal Statement [2],Assignment 1 [2],Assignment 2 [2],Mini-Proposal [2],Personal Question [2],Proposal -- First Draft [2],Proposal -- Final Draft [2],Progress Report [1],Trailer [2],Final Project [2],Project Paper [2],Project Presentation [2],Final Grade [23]
Student17,Student17,1,1,1,1,1,1,1,1,1,1,1,1,0.52173913
Student30,Student30,2,1,1,2,2,2,2,1,1,0,0,0,0.608695652
Student95,Student95,2,2,2,1,1,2,1,1,2,2,2,2,0.869565217
Student96,Student96,1,1,1,2,2,1,1,1,2,2,2,2,0.782608696
Student97,Student97,1,2,1,1,1,1,2,1,1,1,1,1,0.608695652
Student98,Student98,1,1,1,1,2,1,1,1,1,1,1,1,0.565217391
Student59,Student59,2,1,1,1,1,1,1,1,1,2,1,2,0.652173913
Student99,Student99,1,1,1,1,1,1,1,1,1,1,2,1,0.565217391
Student100,Student100,2,2,2,2,2,2,2,1,2,2,2,2,1
Student101,Student101,1,1,1,1,2,1,1,1,1,2,1,1,0.608695652
